sentence_id,nodes,edges,tree_height,leaf_nodes,branching_factor,avg_dependency_distance,sentence,length,flesch_reading_ease,flesch_kincaid_grade
211,12,11,4,6,0.9166666666666666,0,British engineer George Stephenson ran a steam locomotive named Locomotion No.,11,26.470000000000027,12.3
212,27,29,7,13,1.0740740740740742,0,"1 on this 40-kilometer (25-mile) long line, hauling over 400 passengers at up to 13 kilometers per hour (8 mph).",20,46.94500000000005,11.68
213,18,21,4,9,1.1666666666666667,0,"News of the success of steam locomotives quickly reached the United States, where the first steam railroad opened in 1829.",20,63.86500000000004,9.32
214,25,25,11,13,1.0,0,"American railroad pioneers soon started manufacturing their own locomotives, designed to handle the sharper curves and rougher track typical of the country's railroads.",23,17.968260869565228,16.46695652173913
215,21,20,6,10,0.9523809523809524,0,"In the 1850s, trains continued to expand across Europe, with many influenced by or purchases of American locomotive designs.",19,27.25526315789477,14.177894736842106
216,9,8,2,6,0.8888888888888888,0,Other European countries pursued their own distinct designs.,8,29.51500000000001,11.130000000000004
217,19,20,4,8,1.0526315789473684,0,"Around the world, steam locomotives grew larger and more powerful throughout the rest of the century as technology advanced.",19,40.61315789473685,12.314736842105264
218,15,15,4,9,1.0,0,"In Japan, which was never colonized, railroads first arrived in the early 1870s.",13,63.486153846153854,7.633846153846157
219,13,12,3,7,0.9230769230769232,0,"By 1900, railroads were operating on every continent besides uninhabited Antarctica.",11,-11.98454545454544,17.663636363636368
220,24,24,0,11,1.0,0,"=== New technologies === Even as steam locomotive technology continued to improve, inventors in Germany started work on alternative methods for powering trains.",23,4.234285714285733,17.88571428571429
221,21,20,4,12,0.9523809523809524,0,"Werner von Siemens built the first train powered by electricity in 1879, and went on to pioneer electric trams.",19,53.97105263157897,10.451578947368422
222,22,25,5,13,1.1363636363636365,0,"Experimentation with diesel and gas power continued, culminating in the German ""Flying Hamburger"" in 1933, and the influential American EMD FT in 1939.",23,17.968260869565228,16.46695652173913
223,22,25,6,11,1.1363636363636365,0,"These successful diesel locomotives showed that diesel power was superior to steam, due to lower costs, ease of maintenance, and better reliability.",22,22.99590909090909,15.51727272727273
224,20,22,6,9,1.1,0,"=== Dieselization and increased competition === World War II brought great destruction to existing railroads across Europe, Asia, and Africa.",20,33.465,13.063333333333333
225,21,23,5,10,1.0952380952380951,0,"France, Russia, Switzerland, and Japan were leaders in adopting widespread electrified railroads, while other nations focused primarily on dieselization.",19,18.350000000000023,15.420000000000002
226,23,22,7,12,0.9565217391304348,0,"Trains began to face strong competition from automobiles and freight trucks in the 1930s, which greatly intensified following World War II.",21,48.54857142857145,11.704761904761906
227,15,14,4,8,0.9333333333333332,0,"After the war, air transport also became a significant competitor for passenger trains.",13,30.947692307692336,12.172307692307694
228,23,25,5,13,1.0869565217391304,0,"Large amounts of traffic shifted to these new forms of transportation, resulting in a widespread decline in train service, both freight and passenger.",23,51.07260869565218,11.849565217391303
229,17,17,4,11,1.0,0,"The first high-speed rail service was the Japanese Shinkansen, which entered service in 1964.",14,71.76785714285715,6.727142857142859
230,21,23,5,12,1.0952380952380951,0,"The first high-speed train in the Americas was Amtrak's Acela in the United States, which entered service in 2000.",19,62.87631578947371,9.209473684210526
231,22,22,5,13,1.0,0,"Aside from shipping, freight rail is the most energy-efficient and least carbon-intensive way to transport goods.""",16,42.545000000000016,11.3
232,15,14,5,9,0.9333333333333332,0,"As such, rail transport is considered an important part of achieving sustainable energy.",13,30.947692307692336,12.172307692307694
233,26,25,5,14,0.9615384615384616,0,"Intermodal freight trains, carrying double-stack shipping containers, have since the 1970s generated significant business for railroads and gained market share from trucks.",22,30.686818181818182,14.44454545454546
234,21,21,9,9,1.0,0,Increased use of commuter rail has also been promoted as a means of fighting traffic congestion on highways in urban areas.,21,44.52000000000001,12.26666666666667
235,19,19,6,10,1.0,0,"== Components == === Bogies === Bogies, also known in North America as trucks, support the wheels and axles of trains.",21,55.21529411764709,9.781176470588235
236,13,12,5,6,0.9230769230769232,0,Trucks range from just one axle to as many as four or more.,13,96.02461538461542,3.0953846153846136
