id,sentence,source,length,simplified_sentence
214,"American railroad pioneers soon started manufacturing their own locomotives, designed to handle the sharper curves and rougher track typical of the country's railroads.",Rain,23,railroad pioneers started manufacturing their locomotives designed to handle the curves and track of the country 's railroads
215,"In the 1850s, trains continued to expand across Europe, with many influenced by or purchases of American locomotive designs.",Rain,19,In the 1850s trains continued to expand across Europe with many influenced by or purchases of designs
216,Other European countries pursued their own distinct designs.,Rain,8,countries pursued their designs
217,"Around the world, steam locomotives grew larger and more powerful throughout the rest of the century as technology advanced.",Rain,19,Around the world steam locomotives grew larger and powerful throughout the rest of the century as technology advanced
218,"In Japan, which was never colonized, railroads first arrived in the early 1870s.",Rain,13,In Japan which was never colonized railroads arrived in the 1870s
219,"By 1900, railroads were operating on every continent besides uninhabited Antarctica.",Rain,11,By 1900 railroads were operating on every continent besides Antarctica
220,"=== New technologies === Even as steam locomotive technology continued to improve, inventors in Germany started work on alternative methods for powering trains.",Rain,23,= technologies = = = as steam technology continued to improve inventors in Germany started work on methods for powering trains
221,"Werner von Siemens built the first train powered by electricity in 1879, and went on to pioneer electric trams.",Rain,19,Werner von Siemens built the train powered by electricity in 1879 and went on to pioneer electric trams
222,"Experimentation with diesel and gas power continued, culminating in the German ""Flying Hamburger"" in 1933, and the influential American EMD FT in 1939.",Rain,23,Experimentation with diesel and gas power continued culminating in the Flying Hamburger in 1933 and the EMD FT in 1939
223,"These successful diesel locomotives showed that diesel power was superior to steam, due to lower costs, ease of maintenance, and better reliability.",Rain,22,These diesel locomotives showed that diesel power was superior to steam due to costs ease of maintenance and reliability
224,"=== Dieselization and increased competition === World War II brought great destruction to existing railroads across Europe, Asia, and Africa.",Rain,20,= = = Dieselization and competition = = = World War II brought destruction to railroads across Europe Asia and Africa
225,"France, Russia, Switzerland, and Japan were leaders in adopting widespread electrified railroads, while other nations focused primarily on dieselization.",Rain,19,France Russia Switzerland and Japan were leaders in adopting railroads while nations focused on dieselization
226,"Trains began to face strong competition from automobiles and freight trucks in the 1930s, which greatly intensified following World War II.",Rain,21,Trains began to face competition from automobiles and freight trucks in the 1930s which intensified following World War II
227,"After the war, air transport also became a significant competitor for passenger trains.",Rain,13,After the war air transport became a competitor for passenger trains
228,"Large amounts of traffic shifted to these new forms of transportation, resulting in a widespread decline in train service, both freight and passenger.",Rain,23,amounts of traffic shifted to these forms of transportation resulting in a decline in train service both freight and passenger
229,"The first high-speed rail service was the Japanese Shinkansen, which entered service in 1964.",Rain,14,The speed rail service was the Japanese Shinkansen which entered service in 1964
230,"The first high-speed train in the Americas was Amtrak's Acela in the United States, which entered service in 2000.",Rain,19,The speed train in the Americas was Amtrak 's Acela in the United States which entered service in 2000
231,"Aside from shipping, freight rail is the most energy-efficient and least carbon-intensive way to transport goods.""",Rain,16,from shipping freight rail is the energy and least carbon intensive way to transport goods
232,"As such, rail transport is considered an important part of achieving sustainable energy.",Rain,13,As rail transport is considered an part of achieving energy
233,"Intermodal freight trains, carrying double-stack shipping containers, have since the 1970s generated significant business for railroads and gained market share from trucks.",Rain,22,freight trains carrying stack shipping containers have since the 1970s generated business for railroads and gained market share from trucks
234,Increased use of commuter rail has also been promoted as a means of fighting traffic congestion on highways in urban areas.,Rain,21,use of commuter rail has been promoted as a means of fighting traffic congestion on highways in areas
235,"== Components == === Bogies === Bogies, also known in North America as trucks, support the wheels and axles of trains.",Rain,21,= = Components = = = = = Bogies = = = Bogies known in North America as trucks support the wheels and axles of trains
236,Trucks range from just one axle to as many as four or more.,Rain,13,Trucks range from one axle to as four or more
